,ZipCode,Address,LandUse,OwnerType,LotArea,BldgArea,NumBldgs,UnitsRes,UnitsTotal,LotFront,BldgFront,AssessLand,AssessTot,YearBuilt,YearAlter,IfAlter,ResidFAR,CommFAR,FacilFAR,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_10,LandUse_11,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Population,PopDensity,MedIncome,AvgIncome,PerCapitaIncome,HighIncomeHouse,NumofHouses,NumofCondos,EduRate,UnemployedRate,MarriedRate,DivorcedRate,LandUseStr,Zone
102,10282,102 NORTH END AVENUE,5,X,79338,628200,1,0,2,259,0,8063550,100766250,1988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Cml. & Office,L Manhattan
103,10004,10 LITTLE WEST STREET,4,X,46266,523677,2,115,117,369,0,7768800,93778522,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Resi. & Cml.,L Manhattan
104,10004,30 LITTLE WEST STREET,4,X,20763,344863,1,233,234,202.76,202,4495492,52036644,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3089,5516,119691,177262,90205,0.28,2082,1087,0.99,0.061,0.411,0.053,Resi. & Cml.,L Manhattan
106,10282,1 RIVER TERRACE,4,X,30713,507070,1,243,248,164,235.77,1350006,63855021,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Resi. & Cml.,L Manhattan
107,10280,70 BATTERY PLACE,4,X,35352,407751,1,245,248,198,200,5400000,54026552,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
108,10280,333 RECTOR PLACE,4,X,28721,230066,1,174,177,247.41,247,5399990,32528251,1985,2007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7853,56092,145432,193651,95071,0.354,5247,3473,0.988,0.047,0.516,0.084,Resi. & Cml.,L Manhattan
109,10282,300 NORTH END AVENUE,4,X,17353,233010,1,191,192,196,0,1952100,36118350,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Resi. & Cml.,L Manhattan
110,10282,200 NORTH END AVENUE,4,X,32218,377325,1,280,281,260,0,3624751,75425400,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Resi. & Cml.,L Manhattan
111,10282,212 WARREN STREET,3,X,14500,289251,1,166,166,196.58,196,1921502,39055053,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4783,53144,250001,318142,137952,0.613,2885,2234,0.993,0.005,0.647,0.068,Multi Faml. w Elevator,L Manhattan
114,10006,90 WASHINGTON STREET,3,P,23902,325515,1,397,399,156,108,6030000,36541800,1969,2003,1,10,15,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3011,32728,123691,162688,96121,0.32,2155,1583,0.994,0.027,0.313,0.055,Multi Faml. w Elevator,L Manhattan
